module_id, etudiant_apogee, score, result
11, 1057, 8.4, AC
19, 1082, 5.6, AC
22, 1093, 6.6, AC
2, 1005, 3.6, NV
15, 1005, 14.7, V
6, 1064, 9.2, AC
25, 1015, 12.7, V
29, 1040, 4.3, NV
4, 1009, 7.0, AC
26, 1015, 5.0, AC
23, 1040, 4.9, NV
19, 1017, 7.6, AC
20, 1059, 13.0, V
11, 1020, 4.9, NV
4, 1009, 7.3, AC
26, 1065, 11.9, V
24, 1030, 11.6, V
17, 1052, 5.9, AC
25, 1022, 6.8, AC
30, 1050, 13.8, V
26, 1056, 7.2, AC
16, 1087, 11.2, V
18, 1038, 6.7, AC
23, 1048, 5.8, AC
29, 1002, 3.1, NV
25, 1056, 14.5, V
26, 1051, 8.9, AC
28, 1080, 8.5, AC
22, 1019, 11.4, V
21, 1003, 9.3, AC
4, 1059, 11.7, V
24, 1081, 13.9, V
7, 1004, 8.8, AC
12, 1024, 5.9, AC
23, 1050, 10.0, V
7, 1054, 5.9, AC
24, 1032, 10.7, V
30, 1071, 7.7, AC
3, 1044, 14.2, V
23, 1059, 12.1, V
1, 1016, 10.6, V
12, 1053, 13.4, V
8, 1035, 8.8, AC
18, 1016, 3.5, NV
15, 1011, 4.3, NV
29, 1033, 13.3, V
30, 1070, 11.1, V
29, 1028, 13.6, V
18, 1019, 5.5, AC
4, 1021, 3.5, NV
21, 1029, 7.7, AC
16, 1033, 6.1, AC
5, 1008, 11.7, V
26, 1096, 7.1, AC
24, 1053, 3.8, NV
21, 1013, 11.5, V
9, 1095, 7.3, AC
20, 1096, 10.5, V
20, 1043, 5.9, AC
12, 1058, 9.4, AC
11, 1075, 12.1, V
11, 1068, 3.5, NV
9, 1021, 10.1, V
1, 1047, 13.5, V
18, 1038, 4.2, NV
29, 1042, 3.2, NV
29, 1072, 14.6, V
1, 1012, 10.6, V
22, 1037, 6.7, AC
28, 1029, 4.8, NV
21, 1096, 13.5, V
24, 1062, 3.5, NV
21, 1088, 11.7, V
19, 1056, 6.1, AC
26, 1051, 4.2, NV
5, 1075, 3.5, NV
5, 1003, 3.5, NV
14, 1042, 13.5, V
28, 1061, 7.7, AC
29, 1052, 4.4, NV
2, 1063, 9.5, AC
3, 1023, 3.1, NV
14, 1038, 12.0, V
16, 1095, 5.4, AC
21, 1027, 7.7, AC
9, 1060, 8.0, AC
22, 1020, 6.6, AC
21, 1062, 6.1, AC
26, 1054, 8.5, AC
30, 1007, 14.6, V
18, 1012, 9.4, AC
8, 1087, 12.5, V
11, 1043, 7.9, AC
10, 1093, 8.0, AC
5, 1005, 7.7, AC
10, 1089, 5.0, AC
14, 1060, 14.3, V
21, 1006, 12.0, V
10, 1059, 14.0, V
13, 1078, 14.7, V
17, 1037, 9.6, AC
9, 1042, 14.0, V
26, 1077, 14.5, V
23, 1086, 7.8, AC
6, 1065, 7.9, AC
14, 1007, 8.3, AC
27, 1072, 4.1, NV
9, 1044, 11.9, V
21, 1064, 3.4, NV
24, 1065, 5.9, AC
18, 1027, 6.2, AC
22, 1043, 8.9, AC
22, 1007, 6.2, AC
15, 1056, 5.2, AC
1, 1058, 12.3, V
19, 1007, 6.7, AC
14, 1060, 11.0, V
29, 1051, 5.8, AC
16, 1014, 4.8, NV
8, 1087, 5.6, AC
22, 1022, 12.1, V
10, 1047, 13.9, V
25, 1064, 10.6, V
25, 1041, 3.9, NV
13, 1006, 4.4, NV
4, 1042, 10.6, V
27, 1091, 4.8, NV
22, 1046, 12.6, V
3, 1044, 10.6, V
