ID_Module,Nom_Module,Semester
1,Programmation,1
2,Analyse Mathématique,1
3,Mécanique,1
4,Chimie Organique,1
5,Biologie Cellulaire,1
6,Statistiques,1
7,Algèbre Linéaire,2
8,Intelligence Artificielle,2
9,Base de Données,2
10,Physique Quantique,2
11,Analyse Numérique,2
12,Architecture des Ordinateurs,3
13,Réseaux Informatiques,3
14,Systèmes Embarqués,3
15,Électronique Analogique,3
16,Économie Appliquée,3
17,Management,3
18,Génie Logiciel,4
19,Calcul Différentiel,4
20,Théorie des Graphes,4
21,Microbiologie,4
22,Chimie Physique,4
23,Électromagnétisme,4
24,Analyse Fonctionnelle,5
25,Programmation Web,5
26,Optimisation Mathématique,5
27,Cloud Computing,5
28,Cybersécurité,5
29,Vision par Ordinateur,6
30,Analyse Financière,6
